,variance,similarity,delta_mod,size,nodes_num,nb_communities
0,0.0,1.0,0.0,5,17,4
1,0.0,1.0,0.0,5,17,4
2,0.0,1.0,0.0,5,17,4
3,0.0,1.0,0.0,5,17,4
4,0.0,1.0,0.0,5,17,4
5,0.0,1.0,0.0,5,17,4
6,0.0,1.0,0.0,5,17,4
7,0.0,1.0,0.0,5,17,4
8,5.1871916268291334e-05,0.9414193995412681,0.01800554016620498,5,17,4
9,0.0,1.0,0.0,5,17,4
10,0.0,1.0,0.0,5,17,4
11,0.0,1.0,0.0,5,17,4
12,0.0,1.0,0.0,5,17,4
13,0.0,1.0,0.0,5,17,4
14,0.0,1.0,0.0,5,17,4
15,0.0,1.0,0.0,5,17,4
16,0.0,1.0,0.0,5,17,4
17,0.0,1.0,0.0,5,20,2
18,0.0,1.0,0.0,5,20,2
19,0.0,1.0,0.0,5,20,2
20,0.0,1.0,0.0,5,20,2
21,0.0,1.0,0.0,5,20,2
22,0.0,1.0,0.0,5,20,2
23,0.0,1.0,0.0,5,20,2
24,0.0,1.0,0.0,5,20,2
25,0.0,1.0,0.0,5,7,1
26,0.0,1.0,0.0,5,7,1
27,0.0,1.0,0.0,5,7,1
28,0.0,1.0,0.0,5,7,1
29,0.0,1.0,0.0,5,7,1
30,0.0,1.0,0.0,5,7,1
31,0.0,1.0,0.0,5,7,1
32,0.0,1.0,0.0,5,7,1
33,0.0,1.0,0.0,5,218,18
34,0.0,1.0,0.0,5,218,18
35,0.0,1.0,0.0,5,218,18
36,0.0,1.0,0.0,5,218,18
37,0.0,1.0,0.0,5,218,18
38,0.0,1.0,0.0,5,218,18
39,0.0,1.0,0.0,5,218,18
40,0.0,1.0,0.0,5,218,18
41,0.0,1.0,0.0,5,1593,34
42,0.0,1.0,0.0,5,1593,34
43,1.4961151429884701e-10,0.9994760503297521,3.057894642344294e-05,5,1593,34
44,0.0,1.0,0.0,5,1593,34
45,4.3565019347450424e-10,0.9995002505820294,5.218058747480381e-05,5,1593,34
46,0.0,1.0,0.0,5,1593,34
47,0.0,1.0,0.0,5,1593,34
48,5.157888751527491e-11,0.9994938097443947,1.7954610744053134e-05,5,1593,34
49,0.0,1.0,0.0,5,1593,34
50,0.0,1.0,0.0,5,1593,34
51,0.0,1.0,0.0,5,1593,34
52,0.0,1.0,0.0,5,1593,34
53,0.0,1.0,0.0,5,1593,34
54,0.0,1.0,0.0,5,1593,34
55,0.0,1.0,0.0,5,1593,34
56,0.0,1.0,0.0,5,1593,34
57,0.0,1.0,0.0,5,45,1
58,0.0,1.0,0.0,5,45,1
59,0.0,1.0,0.0,5,45,1
60,0.0,1.0,0.0,5,45,1
61,0.0,1.0,0.0,5,45,1
62,0.0,1.0,0.0,5,45,1
63,0.0,1.0,0.0,5,45,1
64,0.0,1.0,0.0,5,45,1
65,0.0,1.0,0.0,5,42,5
66,0.0,1.0,0.0,5,42,5
67,0.0,1.0,0.0,5,42,5
68,0.0,1.0,0.0,5,42,5
69,0.0,1.0,0.0,5,42,5
70,0.0,1.0,0.0,5,42,5
71,0.0,1.0,0.0,5,42,5
72,0.0,1.0,0.0,5,42,5
73,0.0,1.0,0.0,5,327,11
74,0.0,1.0,0.0,5,327,11
75,5.573371260584695e-08,0.9972971076771971,0.0005901997151698257,5,327,11
76,0.0,1.0,0.0,5,327,11
77,1.630499341138294e-08,0.9973415620684568,0.00031922751889701395,5,327,11
78,0.0,1.0,0.0,5,327,11
79,0.0,1.0,0.0,5,327,11
80,3.554598302231729e-08,0.9946387583982602,0.00045780690694519066,5,327,11
81,0.0,1.0,0.0,5,327,11
82,1.1326586373138597e-07,0.9972979100161586,0.0008413748560072154,5,327,11
83,0.0,1.0,0.0,5,327,11
84,0.0,1.0,0.0,5,327,11
85,0.0,1.0,0.0,5,327,11
86,0.0,1.0,0.0,5,327,11
87,0.0,1.0,0.0,5,327,11
88,0.0,1.0,0.0,5,327,11
89,0.0,1.0,0.0,5,327,11
90,1.207222064909902e-08,0.9973404223645396,0.0002746841441672032,5,327,11
91,0.0,1.0,0.0,5,327,11
92,0.0,1.0,0.0,5,327,11
93,0.0,1.0,0.0,5,327,11
94,0.0,1.0,0.0,5,327,11
95,0.0,1.0,0.0,5,327,11
96,0.0,1.0,0.0,5,327,11
97,0.0,1.0,0.0,5,327,11
98,6.135707859564801e-08,0.9951314510961489,0.0006310311420054671,5,327,11
99,0.0,1.0,0.0,5,327,11
100,0.0,1.0,0.0,5,327,11
101,0.0,1.0,0.0,5,327,11
102,0.0,1.0,0.0,5,327,11
103,0.0,1.0,0.0,5,327,11
104,9.64278544906618e-09,0.9961984496334904,0.0002004451862840373,5,327,11
105,0.0,1.0,0.0,5,327,11
106,0.0,1.0,0.0,5,327,11
107,0.0,1.0,0.0,5,327,11
108,0.0,1.0,0.0,5,327,11
109,0.0,1.0,0.0,5,327,11
110,0.0,1.0,0.0,5,327,11
111,0.0,1.0,0.0,5,327,11
112,0.0,1.0,0.0,5,327,11
113,0.0,1.0,0.0,5,21,4
114,0.0,1.0,0.0,5,21,4
115,7.404322273127198e-06,0.965179438490192,0.006802721088435493,5,21,4
116,0.0,1.0,0.0,5,21,4
117,0.0,1.0,0.0,5,21,4
118,0.0,1.0,0.0,5,21,4
119,0.0,1.0,0.0,5,21,4
120,0.0,1.0,0.0,5,21,4
121,0.0,1.0,0.0,5,21,4
122,0.0,1.0,0.0,5,21,4
123,0.0,1.0,0.0,5,21,4
124,3.0814879110195774e-33,1.0,0.0,5,19,4
125,3.0814879110195774e-33,1.0,0.0,5,19,4
126,3.0814879110195774e-33,1.0,0.0,5,19,4
127,3.0814879110195774e-33,1.0,0.0,5,19,4
128,3.0814879110195774e-33,1.0,0.0,5,19,4
129,3.0814879110195774e-33,1.0,0.0,5,19,4
130,3.0814879110195774e-33,1.0,0.0,5,19,4
131,3.0814879110195774e-33,1.0,0.0,5,19,4
132,0.0,1.0,0.0,5,37,4
133,0.0,1.0,0.0,5,37,4
134,4.861978805127511e-05,0.9745650447693734,0.01743197278911568,5,37,4
135,0.0,1.0,0.0,5,37,4
136,0.0,1.0,0.0,5,37,4
137,0.0,1.0,0.0,5,37,4
138,0.0,1.0,0.0,5,37,4
139,0.0,1.0,0.0,5,37,4
140,0.0,1.0,0.0,5,37,4
141,0.0,1.0,0.0,5,37,4
142,0.0,1.0,0.0,5,37,4
